epoch 0 | iter 0         | loss 6888.
epoch 0 | iter 50        | loss 4358.
epoch 0 | iter 100       | loss 4349.
epoch 0 | iter 150       | loss 4185.
epoch 0 | iter 200       | loss 4029.
epoch 0 | iter 250       | loss 3750.
epoch 0 | iter 300       | loss 3639.
epoch 0 | iter 350       | loss 3670.
epoch 1 | iter 0         | loss 3391.
epoch 1 | iter 50        | loss 3317.
epoch 1 | iter 100       | loss 3538.
epoch 1 | iter 150       | loss 3360.
epoch 1 | iter 200       | loss 3346.
epoch 1 | iter 250       | loss 3310.
epoch 1 | iter 300       | loss 3186.
epoch 1 | iter 350       | loss 3223.
epoch 2 | iter 0         | loss 3344.
epoch 2 | iter 50        | loss 3205.
epoch 2 | iter 100       | loss 2916.
epoch 2 | iter 150       | loss 3127.
epoch 2 | iter 200       | loss 2929.
epoch 2 | iter 250       | loss 2914.
epoch 2 | iter 300       | loss 2994.
epoch 2 | iter 350       | loss 2911.
epoch 3 | iter 0         | loss 2972.
epoch 3 | iter 50        | loss 3102.
epoch 3 | iter 100       | loss 2961.
epoch 3 | iter 150       | loss 2909.
epoch 3 | iter 200       | loss 3038.
epoch 3 | iter 250       | loss 2882.
epoch 3 | iter 300       | loss 2922.
epoch 3 | iter 350       | loss 3029.
epoch 4 | iter 0         | loss 3056.
epoch 4 | iter 50        | loss 2977.
epoch 4 | iter 100       | loss 2946.
epoch 4 | iter 150       | loss 2952.
epoch 4 | iter 200       | loss 2962.
epoch 4 | iter 250       | loss 2925.
epoch 4 | iter 300       | loss 3047.
epoch 4 | iter 350       | loss 2911.
epoch 5 | iter 0         | loss 2970.
epoch 5 | iter 50        | loss 2778.
epoch 5 | iter 100       | loss 2732.
epoch 5 | iter 150       | loss 2748.
epoch 5 | iter 200       | loss 2899.
epoch 5 | iter 250       | loss 2743.
epoch 5 | iter 300       | loss 2803.
epoch 5 | iter 350       | loss 2681.
epoch 6 | iter 0         | loss 2882.
epoch 6 | iter 50        | loss 2663.
epoch 6 | iter 100       | loss 2942.
epoch 6 | iter 150       | loss 2816.
epoch 6 | iter 200       | loss 2796.
epoch 6 | iter 250       | loss 2859.
epoch 6 | iter 300       | loss 2831.
epoch 6 | iter 350       | loss 2865.
epoch 7 | iter 0         | loss 3231.
epoch 7 | iter 50        | loss 2899.
epoch 7 | iter 100       | loss 2857.
epoch 7 | iter 150       | loss 2842.
epoch 7 | iter 200       | loss 3303.
epoch 7 | iter 250       | loss 2987.
epoch 7 | iter 300       | loss 2868.
epoch 7 | iter 350       | loss 2802.
epoch 8 | iter 0         | loss 2963.
epoch 8 | iter 50        | loss 2888.
epoch 8 | iter 100       | loss 3005.
epoch 8 | iter 150       | loss 2878.
epoch 8 | iter 200       | loss 2810.
epoch 8 | iter 250       | loss 2839.
epoch 8 | iter 300       | loss 2984.
epoch 8 | iter 350       | loss 2973.
epoch 9 | iter 0         | loss 3135.
epoch 9 | iter 50        | loss 3129.
epoch 9 | iter 100       | loss 3140.
epoch 9 | iter 150       | loss 2932.
epoch 9 | iter 200       | loss 2845.
epoch 9 | iter 250       | loss 3028.
epoch 9 | iter 300       | loss 2876.
epoch 9 | iter 350       | loss 2747.
epoch 10 | iter 0        | loss 2961.
epoch 10 | iter 50       | loss 2975.
epoch 10 | iter 100      | loss 2739.
epoch 10 | iter 150      | loss 2899.
epoch 10 | iter 200      | loss 2994.
epoch 10 | iter 250      | loss 2917.
epoch 10 | iter 300      | loss 2957.
epoch 10 | iter 350      | loss 2930.
epoch 11 | iter 0        | loss 2897.
epoch 11 | iter 50       | loss 3056.
epoch 11 | iter 100      | loss 2809.
epoch 11 | iter 150      | loss 3006.
epoch 11 | iter 200      | loss 2841.
epoch 11 | iter 250      | loss 2870.
epoch 11 | iter 300      | loss 2854.
epoch 11 | iter 350      | loss 2879.
epoch 12 | iter 0        | loss 2907.
epoch 12 | iter 50       | loss 2810.
epoch 12 | iter 100      | loss 2924.
epoch 12 | iter 150      | loss 3070.
epoch 12 | iter 200      | loss 3097.
epoch 12 | iter 250      | loss 2905.
epoch 12 | iter 300      | loss 2927.
epoch 12 | iter 350      | loss 2944.
epoch 13 | iter 0        | loss 2982.
