epoch 0 | iter 0         | loss 8278.
epoch 0 | iter 50        | loss 5485.
epoch 0 | iter 100       | loss 4907.
epoch 1 | iter 0         | loss 4231.
epoch 1 | iter 50        | loss 4582.
epoch 1 | iter 100       | loss 4293.
epoch 2 | iter 0         | loss 4102.
epoch 2 | iter 50        | loss 4448.
epoch 2 | iter 100       | loss 3953.
epoch 3 | iter 0         | loss 4075.
epoch 3 | iter 50        | loss 4004.
epoch 3 | iter 100       | loss 3838.
epoch 4 | iter 0         | loss 3615.
epoch 4 | iter 50        | loss 3748.
epoch 4 | iter 100       | loss 3614.
epoch 5 | iter 0         | loss 3687.
epoch 5 | iter 50        | loss 3321.
epoch 5 | iter 100       | loss 3539.
epoch 6 | iter 0         | loss 3533.
epoch 6 | iter 50        | loss 3384.
epoch 6 | iter 100       | loss 3242.
epoch 7 | iter 0         | loss 3569.
epoch 7 | iter 50        | loss 3400.
epoch 7 | iter 100       | loss 3577.
epoch 8 | iter 0         | loss 3496.
epoch 8 | iter 50        | loss 3395.
epoch 8 | iter 100       | loss 3759.
epoch 9 | iter 0         | loss 3652.
epoch 9 | iter 50        | loss 3560.
epoch 9 | iter 100       | loss 3421.
epoch 10 | iter 0        | loss 3734.
epoch 10 | iter 50       | loss 3288.
epoch 10 | iter 100      | loss 3952.
epoch 11 | iter 0        | loss 3887.
epoch 11 | iter 50       | loss 3621.
epoch 11 | iter 100      | loss 3543.
epoch 12 | iter 0        | loss 3516.
epoch 12 | iter 50       | loss 3334.
epoch 12 | iter 100      | loss 3545.
epoch 13 | iter 0        | loss 3708.
epoch 13 | iter 50       | loss 3573.
epoch 13 | iter 100      | loss 3320.
epoch 14 | iter 0        | loss 3510.
epoch 14 | iter 50       | loss 3751.
epoch 14 | iter 100      | loss 3515.
epoch 15 | iter 0        | loss 3491.
epoch 15 | iter 50       | loss 3602.
epoch 15 | iter 100      | loss 3594.
epoch 16 | iter 0        | loss 3303.
epoch 16 | iter 50       | loss 3472.
epoch 16 | iter 100      | loss 3718.
epoch 17 | iter 0        | loss 3631.
epoch 17 | iter 50       | loss 3428.
epoch 17 | iter 100      | loss 3420.
epoch 18 | iter 0        | loss 3605.
epoch 18 | iter 50       | loss 3583.
epoch 18 | iter 100      | loss 3613.
epoch 19 | iter 0        | loss 3768.
epoch 19 | iter 50       | loss 3807.
epoch 19 | iter 100      | loss 3629.
epoch 20 | iter 0        | loss 4008.
epoch 20 | iter 50       | loss 3590.
epoch 20 | iter 100      | loss 3455.
epoch 21 | iter 0        | loss 3756.
epoch 21 | iter 50       | loss 3676.
epoch 21 | iter 100      | loss 3622.
epoch 22 | iter 0        | loss 3763.
epoch 22 | iter 50       | loss 3778.
epoch 22 | iter 100      | loss 3849.
epoch 23 | iter 0        | loss 3848.
epoch 23 | iter 50       | loss 3737.
epoch 23 | iter 100      | loss 3862.
epoch 24 | iter 0        | loss 4039.
epoch 24 | iter 50       | loss 4401.
epoch 24 | iter 100      | loss 4001.
epoch 25 | iter 0        | loss 4182.
epoch 25 | iter 50       | loss 3877.
epoch 25 | iter 100      | loss 4184.
epoch 26 | iter 0        | loss 4299.
epoch 26 | iter 50       | loss 4427.
epoch 26 | iter 100      | loss 4556.
epoch 27 | iter 0        | loss 4763.
epoch 27 | iter 50       | loss 4622.
epoch 27 | iter 100      | loss 4793.
epoch 28 | iter 0        | loss 5186.
epoch 28 | iter 50       | loss 5075.
epoch 28 | iter 100      | loss 5179.
epoch 29 | iter 0        | loss 5041.
epoch 29 | iter 50       | loss 5172.
epoch 29 | iter 100      | loss 4981.
epoch 30 | iter 0        | loss 5106.
epoch 30 | iter 50       | loss 5364.
epoch 30 | iter 100      | loss 5275.
epoch 31 | iter 0        | loss 5166.
epoch 31 | iter 50       | loss 5607.
epoch 31 | iter 100      | loss 5417.
epoch 32 | iter 0        | loss 5733.
epoch 32 | iter 50       | loss 5727.
epoch 32 | iter 100      | loss 5843.
