epoch 0 | iter 0         | loss 7292.
epoch 0 | iter 50        | loss 4352.
epoch 0 | iter 100       | loss 4292.
epoch 0 | iter 150       | loss 4005.
epoch 0 | iter 200       | loss 3831.
epoch 1 | iter 0         | loss 3695.
epoch 1 | iter 50        | loss 3823.
epoch 1 | iter 100       | loss 3500.
epoch 1 | iter 150       | loss 3747.
epoch 1 | iter 200       | loss 3504.
epoch 2 | iter 0         | loss 3528.
epoch 2 | iter 50        | loss 3700.
epoch 2 | iter 100       | loss 3462.
epoch 2 | iter 150       | loss 3356.
epoch 2 | iter 200       | loss 3380.
epoch 3 | iter 0         | loss 3430.
epoch 3 | iter 50        | loss 3454.
epoch 3 | iter 100       | loss 3352.
epoch 3 | iter 150       | loss 3338.
epoch 3 | iter 200       | loss 3240.
epoch 4 | iter 0         | loss 3203.
epoch 4 | iter 50        | loss 3354.
epoch 4 | iter 100       | loss 3388.
epoch 4 | iter 150       | loss 3309.
epoch 4 | iter 200       | loss 3205.
epoch 5 | iter 0         | loss 3382.
epoch 5 | iter 50        | loss 3190.
epoch 5 | iter 100       | loss 3370.
epoch 5 | iter 150       | loss 3276.
epoch 5 | iter 200       | loss 3271.
epoch 6 | iter 0         | loss 3165.
epoch 6 | iter 50        | loss 3028.
epoch 6 | iter 100       | loss 2963.
epoch 6 | iter 150       | loss 2943.
epoch 6 | iter 200       | loss 3062.
epoch 7 | iter 0         | loss 3269.
epoch 7 | iter 50        | loss 3252.
epoch 7 | iter 100       | loss 3085.
epoch 7 | iter 150       | loss 3140.
epoch 7 | iter 200       | loss 3151.
epoch 8 | iter 0         | loss 3182.
epoch 8 | iter 50        | loss 3264.
epoch 8 | iter 100       | loss 3231.
epoch 8 | iter 150       | loss 3048.
epoch 8 | iter 200       | loss 3378.
epoch 9 | iter 0         | loss 3251.
epoch 9 | iter 50        | loss 3104.
epoch 9 | iter 100       | loss 3128.
epoch 9 | iter 150       | loss 3144.
epoch 9 | iter 200       | loss 3267.
epoch 10 | iter 0        | loss 3247.
epoch 10 | iter 50       | loss 3201.
epoch 10 | iter 100      | loss 3181.
epoch 10 | iter 150      | loss 3088.
epoch 10 | iter 200      | loss 3181.
epoch 11 | iter 0        | loss 3423.
epoch 11 | iter 50       | loss 3391.
epoch 11 | iter 100      | loss 3398.
epoch 11 | iter 150      | loss 3482.
epoch 11 | iter 200      | loss 3340.
epoch 12 | iter 0        | loss 3207.
epoch 12 | iter 50       | loss 3252.
epoch 12 | iter 100      | loss 3028.
epoch 12 | iter 150      | loss 3433.
epoch 12 | iter 200      | loss 3255.
epoch 13 | iter 0        | loss 3264.
epoch 13 | iter 50       | loss 3285.
epoch 13 | iter 100      | loss 3279.
epoch 13 | iter 150      | loss 3186.
epoch 13 | iter 200      | loss 3329.
epoch 14 | iter 0        | loss 3101.
epoch 14 | iter 50       | loss 3370.
epoch 14 | iter 100      | loss 3090.
epoch 14 | iter 150      | loss 3135.
epoch 14 | iter 200      | loss 3283.
epoch 15 | iter 0        | loss 3308.
epoch 15 | iter 50       | loss 3338.
epoch 15 | iter 100      | loss 3141.
epoch 15 | iter 150      | loss 3300.
epoch 15 | iter 200      | loss 3233.
epoch 16 | iter 0        | loss 3213.
epoch 16 | iter 50       | loss 3008.
epoch 16 | iter 100      | loss 3361.
epoch 16 | iter 150      | loss 3255.
epoch 16 | iter 200      | loss 3231.
epoch 17 | iter 0        | loss 3230.
epoch 17 | iter 50       | loss 3283.
epoch 17 | iter 100      | loss 3260.
epoch 17 | iter 150      | loss 3170.
epoch 17 | iter 200      | loss 3293.
epoch 18 | iter 0        | loss 3272.
epoch 18 | iter 50       | loss 3174.
epoch 18 | iter 100      | loss 3456.
epoch 18 | iter 150      | loss 3119.
epoch 18 | iter 200      | loss 3284.
epoch 19 | iter 0        | loss 3320.
epoch 19 | iter 50       | loss 3068.
epoch 19 | iter 100      | loss 3144.
epoch 19 | iter 150      | loss 3291.
epoch 19 | iter 200      | loss 3216.
epoch 20 | iter 0        | loss 3239.
epoch 20 | iter 50       | loss 3344.
epoch 20 | iter 100      | loss 3291.
epoch 20 | iter 150      | loss 3027.
epoch 20 | iter 200      | loss 3283.
epoch 21 | iter 0        | loss 3242.
epoch 21 | iter 50       | loss 3182.
epoch 21 | iter 100      | loss 3247.
epoch 21 | iter 150      | loss 3337.
epoch 21 | iter 200      | loss 3072.
epoch 22 | iter 0        | loss 3176.
epoch 22 | iter 50       | loss 3331.
epoch 22 | iter 100      | loss 3418.
epoch 22 | iter 150      | loss 3449.
epoch 22 | iter 200      | loss 3467.
epoch 23 | iter 0        | loss 3692.
epoch 23 | iter 50       | loss 3572.
epoch 23 | iter 100      | loss 3597.
epoch 23 | iter 150      | loss 3830.
epoch 23 | iter 200      | loss 3622.
epoch 24 | iter 0        | loss 3804.
epoch 24 | iter 50       | loss 3994.
epoch 24 | iter 100      | loss 3848.
epoch 24 | iter 150      | loss 3576.
